Country,City,Airport
Austria,Baden bei Wien,VIE
Austria,Bregenz,ZRH
Austria,Salzburg,SZG
Austria,Wien,VIE
Belarus,Minsk,MSQ
Belgium,Antwerpen,ANR
Belgium,Bruxelles,/m/02rnbv
Belgium,Liège,LGG
Bulgaria,Sofia,SOF
Canada,Québec,YQB
Croatia,Zagreb,ZAG
Czech Republic,Brno,BRQ
Czech Republic,Praha,PRG
Denmark,Aarhus,AAR
Denmark,København,CPH
Estonia,Tallinn,TLL
Germany,Berlin,/m/0156q
Germany,Düsseldorf,DUS
Germany,Frankfurt,FRA
Germany,Hamburg,HAM
Germany,München,MUC
Germany,Nürnberg,NUE
Greece,Athens,ATH
Hungary,Bucharest,OTP
Hungary,Budapest,BUD
Iceland,Reykjavik,KEF
Ireland,Belfast,./m/01l63
Ireland,Cork,ORK
Ireland,Dublin,DUB
Italy,Bologna,BLQ
Italy,Milano,/m/0947l
Italy,Roma,/m/06c62
Latvia,Riga,RIX
Lithuania,Vilnius,VNO
Luxembourg,Luxembourg,LUX
Netherlands,Amsterdam,AMS
Norway,Bergen,BGO
Norway,Oslo,OSL
Poland,Warszawa,WAW
Spain,Bilbao,BIO
Spain,La Coruña,SCQ
Sweden,Göteborg,GOT
Sweden,Malmö,CPH
Sweden,Stockholm,/m/06mxs
Switzerland,Basel,/m/01k4f
Switzerland,Bern,BRN
Switzerland,Genève,GVA
Switzerland,Lausanne,GVA
Switzerland,Zürich,ZRH
Ukraine,Kyiv,/m/02sn34
Finland,Helsinki,HEL
Spain,Madrid,MAD
Russia,St Petersburg,LED
Italy,Firenze,FLR
Italy,Napoli,NAP
Romania,Bucuresti,OTP
Slovenia,Ljubljana,LJU
Sweden,Umeå,UME
United Kingdom,Glasgow,GLA
United Kingdom,London,/m/04jpl